/,Course Name,Website,Address One,Address Two,City,State,Country,Postal Code
course,Heron Creek Country Club,https://www.heroncreekgcc.com/,5301 Heron Creek Blvd.,,North Port,FL,US,34287
/,Nine Name,,,,,,,
nine,Oaks,,,,,,,
/,Tee Name,Par,Rating,Length,Slope,,,
tee,Black,36,36.2,3418,142,,,
/,Hole Number,Par,Handicap,Length,,,,
hole,1,5,3,515,,,,
hole,2,4,2,437,,,,
hole,3,4,5,422,,,,
hole,4,3,6,170,,,,
hole,5,4,9,410,,,,
hole,6,3,8,188,,,,
hole,7,4,1,400,,,,
hole,8,4,7,340,,,,
hole,9,5,4,536,,,,
endtee,,,,,,,,
/,Tee Name,Par,Rating,Length,Slope,,,
tee,Blue,36,35.25,3127,138,,,
/,Hole Number,Par,Handicap,Length,,,,
hole,1,5,3,477,,,,
hole,2,4,2,383,,,,
hole,3,4,5,386,,,,
hole,4,3,6,154,,,,
hole,5,4,9,396,,,,
hole,6,3,8,159,,,,
hole,7,4,1,368,,,,
hole,8,4,7,289,,,,
hole,9,5,4,515,,,,
endtee,,,,,,,,
/,Tee Name,Par,Rating,Length,Slope,,,
tee,White (M),36,34.35,2952,122,,,
/,Hole Number,Par,Handicap,Length,,,,
hole,1,5,3,466,,,,
hole,2,4,2,370,,,,
hole,3,4,5,359,,,,
hole,4,3,6,148,,,,
hole,5,4,9,317,,,,
hole,6,3,8,150,,,,
hole,7,4,1,355,,,,
hole,8,4,7,284,,,,
hole,9,5,4,503,,,,
endtee,,,,,,,,
/,Tee Name,Par,Rating,Length,Slope,,,
tee,White (L),36,37.05,2952,133,,,
/,Hole Number,Par,Handicap,Length,,,,
hole,1,5,3,466,,,,
hole,2,4,2,370,,,,
hole,3,4,5,359,,,,
hole,4,3,6,148,,,,
hole,5,4,9,317,,,,
hole,6,3,8,150,,,,
hole,7,4,1,355,,,,
hole,8,4,7,284,,,,
hole,9,5,4,503,,,,
endtee,,,,,,,,
/,Tee Name,Par,Rating,Length,Slope,,,
tee,Green (M),36,33.45,2701,113,,,
/,Hole Number,Par,Handicap,Length,,,,
hole,1,5,3,437,,,,
hole,2,4,2,309,,,,
hole,3,4,5,347,,,,
hole,4,3,6,139,,,,
hole,5,4,9,301,,,,
hole,6,3,8,141,,,,
hole,7,4,1,300,,,,
hole,8,4,7,276,,,,
hole,9,5,4,451,,,,
endtee,,,,,,,,
/,Tee Name,Par,Rating,Length,Slope,,,
tee,Green (L),36,35.8,2701,127,,,
/,Hole Number,Par,Handicap,Length,,,,
hole,1,5,3,437,,,,
hole,2,4,2,309,,,,
hole,3,4,5,347,,,,
hole,4,3,6,139,,,,
hole,5,4,9,301,,,,
hole,6,3,8,141,,,,
hole,7,4,1,300,,,,
